Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,427.656,427.539,429.078,14.0224,7.92229,7.90082
3072,8192,2,434.898,434.902,434.559,15.6086,9.40122,9.35819
3072,8192,3,443.223,433.547,434.379,15.6007,9.92065,9.82207
3072,8192,5,437.316,440.367,445.852,16.6456,10.614,10.3594
3072,8192,10,462.07,477.387,473.484,19.0834,12.8564,13.1561
3072,8192,12,500.008,483.188,504.379,19.4995,14.5126,14.468
3072,8192,20,582.773,588.281,497.312,22.1202,16.8258,16.5997
3072,8192,30,665.945,677.555,498.789,26.2949,20.44,19.4478
3072,8192,50,821.609,838.113,511.277,32.3849,27.4509,24.0017
3072,8192,80,1005.75,1088.54,507.59,40.9484,36.1765,30.3094
3072,8192,100,1168.13,1141.32,503.02,44.6231,40.1524,36.9085
3072,8192,200,1723.3,1586.54,522.637,54.8214,54.9467,49.293
