Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.699,42.448,41.596
30720,8192,2,0.002,34.057,33.69,33.668
30720,8192,3,0.002,34.101,33.555,33.673
30720,8192,5,0.002,33.964,33.682,33.504
30720,8192,10,0.002,34.227,33.749,33.629
30720,8192,12,0.003,34.016,33.694,33.69
30720,8192,20,0.002,34.361,34.024,33.86
30720,8192,30,0.002,34.514,34.246,34.044
30720,8192,50,0.003,34.874,34.588,34.467
30720,8192,80,0.003,36.027,35.703,34.87
30720,8192,100,0.004,36.298,36.007,35.147
30720,8192,200,0.007,39.651,39.175,36.681
