Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.13,1.09,1.08
768,8192,2,0.002,0.939,0.92,0.926
768,8192,3,0.002,0.929,0.927,0.923
768,8192,5,0.002,0.957,0.939,0.948
768,8192,10,0.002,1.059,1.029,1.027
768,8192,12,0.002,1.105,1.075,1.074
768,8192,20,0.002,1.31,1.249,1.179
768,8192,30,0.002,1.525,1.495,1.365
768,8192,50,0.002,1.947,1.846,1.654
768,8192,80,0.003,2.644,2.587,2.178
768,8192,100,0.003,3.265,3.06,2.585
768,8192,200,0.006,6.14,5.919,4.629
