Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.05,4.003,4.028
3072,8192,2,0.002,3.278,3.241,3.228
3072,8192,3,0.002,3.346,3.39,3.409
3072,8192,5,0.002,3.441,3.252,3.266
3072,8192,10,0.002,3.34,3.278,3.299
3072,8192,12,0.002,3.415,3.369,3.423
3072,8192,20,0.002,3.613,3.564,3.515
3072,8192,30,0.002,3.886,3.864,3.654
3072,8192,50,0.002,4.294,4.187,3.899
3072,8192,80,0.003,4.988,4.953,4.229
3072,8192,100,0.003,5.623,5.564,4.609
3072,8192,200,0.005,8.674,8.086,6.528
