Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.578,14.432,14.366
10752,8192,2,0.002,11.475,11.434,11.474
10752,8192,3,0.002,11.269,11.146,11.137
10752,8192,5,0.002,11.264,11.248,11.175
10752,8192,10,0.002,11.354,11.185,11.252
10752,8192,12,0.002,11.451,11.283,11.33
10752,8192,20,0.002,11.779,11.589,11.433
10752,8192,30,0.002,11.854,11.775,11.655
10752,8192,50,0.003,12.421,12.203,11.812
10752,8192,80,0.003,13.04,13.025,12.324
10752,8192,100,0.003,13.752,13.586,12.58
10752,8192,200,0.006,16.728,16.777,13.81
