Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.201,10.09,10.157
7680,8192,2,0.001,8.182,8.075,8.051
7680,8192,3,0.002,8.121,8.077,8.082
7680,8192,5,0.002,8.111,8.15,8.02
7680,8192,10,0.002,8.121,8.068,8.032
7680,8192,12,0.002,8.178,8.113,8.055
7680,8192,20,0.002,8.329,8.237,8.22
7680,8192,30,0.002,8.539,8.456,8.397
7680,8192,50,0.002,9.034,8.93,8.62
7680,8192,80,0.003,9.832,9.712,9.03
7680,8192,100,0.003,10.385,10.231,9.213
7680,8192,200,0.006,13.566,13.93,10.646
