Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,76.215,72.899,73.24
50688,8192,2,0.002,59.433,59.108,58.849
50688,8192,3,0.002,59.373,58.871,58.743
50688,8192,5,0.002,59.262,58.684,58.598
50688,8192,10,0.002,59.37,59.023,58.803
50688,8192,12,0.002,59.255,58.667,58.717
50688,8192,20,0.002,60.38,59.134,59.317
50688,8192,30,0.002,59.731,59.192,58.834
50688,8192,50,0.003,60.083,59.608,59.451
50688,8192,80,0.004,60.919,60.517,59.765
50688,8192,100,0.004,61.695,61.145,60.174
50688,8192,200,0.007,65.524,65.307,61.955
