Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.367,14.271,14.171
10752,8192,2,0.002,11.335,11.274,11.335
10752,8192,3,0.002,11.262,11.11,11.101
10752,8192,5,0.002,11.216,11.156,11.118
10752,8192,10,0.002,11.315,11.192,11.148
10752,8192,12,0.002,11.393,11.346,11.379
10752,8192,20,0.002,11.519,11.557,11.426
10752,8192,30,0.002,11.781,11.82,11.512
10752,8192,50,0.002,12.23,12.082,11.827
10752,8192,80,0.003,12.926,13.222,12.196
10752,8192,100,0.003,13.467,13.374,12.446
10752,8192,200,0.006,16.683,16.717,13.694
