Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.001,10.18,10.095,10.175
7680,8192,2,0.002,8.069,8.017,8.063
7680,8192,3,0.002,8.116,8.022,8.026
7680,8192,5,0.002,8.135,8.05,7.97
7680,8192,10,0.002,8.115,7.971,8.008
7680,8192,12,0.002,8.161,8.044,8.044
7680,8192,20,0.002,8.327,8.257,8.211
7680,8192,30,0.002,8.546,8.492,8.352
7680,8192,50,0.002,9.042,8.898,8.592
7680,8192,80,0.003,9.611,9.638,9.091
7680,8192,100,0.003,10.271,10.19,9.187
7680,8192,200,0.006,13.527,13.691,10.439
