Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.139,1.082,1.077
768,8192,2,0.002,0.925,0.91,0.926
768,8192,3,0.002,0.934,0.919,0.921
768,8192,5,0.002,0.955,0.941,0.936
768,8192,10,0.002,1.043,1.013,1.021
768,8192,12,0.002,1.089,1.075,1.085
768,8192,20,0.002,1.246,1.276,1.215
768,8192,30,0.002,1.516,1.48,1.344
768,8192,50,0.002,1.895,1.897,1.626
768,8192,80,0.003,2.588,2.554,2.218
768,8192,100,0.003,3.259,3.214,2.609
768,8192,200,0.005,6.508,5.95,4.595
