Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.791,72.619,72.709
50688,8192,2,0.002,59.297,58.785,58.904
50688,8192,3,0.002,59.115,58.493,58.448
50688,8192,5,0.002,59.063,58.609,58.53
50688,8192,10,0.002,59.111,58.505,58.51
50688,8192,12,0.002,59.018,58.458,58.591
50688,8192,20,0.002,59.517,58.953,59
50688,8192,30,0.003,60.126,59.043,59.08
50688,8192,50,0.003,60.184,59.603,59.51
50688,8192,80,0.004,61.208,60.637,60.215
50688,8192,100,0.003,62.054,61.397,60.136
50688,8192,200,0.008,65.158,64.815,61.853
