Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.067,4.03,4.009
3072,8192,2,0.002,3.274,3.243,3.247
3072,8192,3,0.002,3.286,3.257,3.266
3072,8192,5,0.002,3.3,3.274,3.271
3072,8192,10,0.002,3.376,3.3,3.36
3072,8192,12,0.002,3.411,3.363,3.407
3072,8192,20,0.002,3.611,3.583,3.503
3072,8192,30,0.002,3.926,3.772,3.632
3072,8192,50,0.003,4.266,4.246,3.874
3072,8192,80,0.003,4.951,5.054,4.396
3072,8192,100,0.003,5.475,5.521,4.578
3072,8192,200,0.005,8.762,7.872,6.489
