Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.288,42.66,41.353
30720,8192,2,0.002,33.896,33.513,33.564
30720,8192,3,0.002,33.847,33.485,33.54
30720,8192,5,0.002,33.816,33.536,33.51
30720,8192,10,0.002,33.867,33.544,33.55
30720,8192,12,0.002,33.947,33.523,33.447
30720,8192,20,0.002,34.751,33.879,33.866
30720,8192,30,0.003,34.468,34.218,33.956
30720,8192,50,0.003,35.209,34.527,34.397
30720,8192,80,0.004,35.541,35.296,34.667
30720,8192,100,0.004,36.139,35.862,34.982
30720,8192,200,0.007,39.56,39.522,36.693
