Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,427.617,427.77,428.484,14.1138,7.87971,7.90887
3072,8192,2,434.457,434.266,435.312,15.3469,9.40964,9.46892
3072,8192,3,433.629,437.742,432.648,15.4703,9.47322,9.8719
3072,8192,5,442.984,438.238,444.109,16.1655,10.4106,10.7389
3072,8192,10,465.27,480.891,477.043,18.7218,13.0341,12.985
3072,8192,12,507.363,495.953,493.121,19.9709,14.3637,14.5542
3072,8192,20,580.414,583.727,496.082,22.8874,17.2728,16.2565
3072,8192,30,664.352,662.934,503.211,26.5465,21.5137,19.1861
3072,8192,50,812.047,832.207,510.203,33.2799,27.3201,25.0446
3072,8192,80,1017.86,970.25,505.207,40.1914,37.1599,31.6108
3072,8192,100,1168.52,1165.73,509.609,44.8341,40.3646,36.0463
3072,8192,200,1623.24,1623.51,511.352,54.4289,52.7554,47.5415
