Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,975.113,971.828,975.898,14.6044,8.13021,8.14173
7680,8192,2,976.965,975.871,976.262,15.6853,9.52613,9.43118
7680,8192,3,976.691,977.117,976.559,15.9506,9.79915,9.68421
7680,8192,5,989.473,989.527,989.879,16.1819,9.92465,9.83031
7680,8192,10,1009.11,998.559,997.348,17.4995,11.2663,11.151
7680,8192,12,1008.81,1008.72,1011.91,17.6015,11.6942,11.7641
7680,8192,20,1030.45,1019.53,1008.26,19.026,13.0899,12.4617
7680,8192,30,1128.61,1123.84,1018.66,20.8667,14.7919,13.9388
7680,8192,50,1289.21,1278.91,1013.89,23.8422,22.261,16.2275
7680,8192,80,1540.4,1529.46,1027.22,27.4327,22.0469,19.7216
7680,8192,100,1702.77,1708.91,1028.61,30.7126,25.118,21.724
7680,8192,200,2514.41,2492.62,1039.57,39.8973,37.5731,31.5902
