Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,144.938,145.008,146.355,12.3984,6.95923,6.78162
768,8192,2,153.047,154.902,154.812,13.2295,8.23934,8.5091
768,8192,3,167.383,167.961,167.93,14.3611,9.1808,9.70141
768,8192,5,197.906,198.281,195.988,17.1569,11.992,11.4511
768,8192,10,255.441,250.156,263.586,46.5446,20.7858,20.8174
768,8192,12,274.703,284.41,296.836,29.2112,23.6852,24.244
768,8192,20,368.383,370.324,280.629,35.3892,29.4931,27.2048
768,8192,30,449.527,438.723,296.316,42.9405,40.5189,35.884
768,8192,50,524.746,566.418,290.168,51.3929,47.175,40.7541
768,8192,80,640.52,690.188,296.367,59.6924,54.7417,49.964
768,8192,100,773.242,741.609,296.82,57.4662,57.3396,56.9949
768,8192,200,1113.41,1099.88,296.547,63.6165,72.6257,65.1701
