Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,425.438,425.762,428.711,14.1242,7.89776,7.93073
3072,8192,2,433.961,430.113,429.988,15.0505,9.33574,9.27266
3072,8192,3,432.43,431.695,444.25,16.513,9.63766,9.98142
3072,8192,5,439.984,443.785,443.805,16.3616,10.2055,10.249
3072,8192,10,472.137,475.961,468.652,18.7436,12.837,13.6693
3072,8192,12,480.75,490.902,503.926,19.9851,14.1892,13.8484
3072,8192,20,583.156,590.137,487.562,22.5739,16.8898,16.0539
3072,8192,30,665.027,662.184,497.934,26.2876,21.1501,19.9034
3072,8192,50,818.23,843.328,505.492,33.5549,27.112,23.795
3072,8192,80,985.078,1034.31,500.348,39.797,35.8542,31.146
3072,8192,100,1111.39,1134.6,517.727,44.863,40.1293,35.6564
3072,8192,200,1633.23,1526.28,518.363,52.7281,52.9354,48.7908
