Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.84,1335.04,1336.02,14.6772,8.203,8.20151
10752,8192,2,1333.5,1331.98,1333.23,15.6958,9.60513,9.54496
10752,8192,3,1349.39,1348.04,1333.54,15.9795,9.6793,9.6851
10752,8192,5,1356.14,1355.27,1355.04,16.1353,9.91565,9.86847
10752,8192,10,1358.78,1355.04,1362.82,16.9249,10.7143,10.8503
10752,8192,12,1372.11,1373.32,1370.84,17.224,11.3901,10.9815
10752,8192,20,1376.9,1378.27,1365.64,18.1715,12.1207,11.8496
10752,8192,30,1410.21,1416.57,1385.8,19.3205,13.5211,12.9541
10752,8192,50,1578.73,1565.41,1392.71,21.8556,16.5553,14.5764
10752,8192,80,1859.35,1840.45,1387.07,24.803,19.1141,16.8433
10752,8192,100,2018.51,2026.44,1390.18,26.9042,21.2237,18.1603
10752,8192,200,2862.81,2808.11,1413.45,34.5678,30.6732,25.5121
