Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3676.3,3676.49,3677.86,14.891,8.28093,8.27812
30720,8192,2,3692.64,3690.79,3690.28,15.9511,9.55938,9.54518
30720,8192,3,3707.29,3704.85,3703.8,15.9134,9.60496,9.65199
30720,8192,5,3685.52,3694.44,3691.87,15.9934,9.75409,9.67857
30720,8192,10,3718.66,3711.71,3717.87,16.2744,10.0002,9.99736
30720,8192,12,3740.14,3737.37,3735.12,16.4627,10.1037,10.191
30720,8192,20,3732.48,3731.53,3717.06,16.7881,10.4833,10.4441
30720,8192,30,3731.39,3759.75,3739.51,17.171,10.9932,10.7448
30720,8192,50,3786.37,3769.29,3755.71,18.0478,11.8586,11.3021
30720,8192,80,3845.96,3850.21,3732.41,19.251,13.0188,12.2796
30720,8192,100,3896.69,3893.06,3742.96,20.0446,14.0463,12.6875
30720,8192,200,4800.68,4785.38,3742.71,23.7482,17.9217,15.2296
