Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,971.988,972.758,975.68,14.561,8.13977,8.13068
7680,8192,2,976.395,974.27,977.598,15.653,9.58224,11.1039
7680,8192,3,981.383,974.379,975.598,15.7656,9.76714,9.77508
7680,8192,5,985.598,986.555,986.715,16.0924,9.99845,9.92809
7680,8192,10,998.422,994.906,1005.74,17.4119,11.2447,11.0036
7680,8192,12,998.977,1013.59,1010.91,17.8989,11.5925,11.859
7680,8192,20,1020.69,1026.18,1019.47,19.1232,13.1555,12.7394
7680,8192,30,1127.46,1118.91,1016.04,20.469,15.3892,14.1773
7680,8192,50,1281.05,1281.67,1036.61,23.9318,18.2109,16.5367
7680,8192,80,1571.62,1536.5,1027.55,27.6988,22.4111,19.9611
7680,8192,100,1739,1729.5,1033.01,30.3994,24.9989,21.639
7680,8192,200,2526.7,2449.33,1031.41,40.3484,37.2738,31.2748
