Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.849,73.123,74.025
50688,8192,2,0.002,59.554,58.724,58.8
50688,8192,3,0.002,59.221,58.693,58.623
50688,8192,5,0.002,59.074,58.626,58.606
50688,8192,10,0.003,59.027,58.644,58.684
50688,8192,12,0.002,59.359,58.571,58.474
50688,8192,20,0.002,59.586,58.886,58.782
50688,8192,30,0.003,59.676,59.224,58.916
50688,8192,50,0.003,60.109,59.62,59.17
50688,8192,80,0.004,61.201,60.54,59.677
50688,8192,100,0.003,61.403,61.106,60.25
50688,8192,200,0.005,65.33,64.702,61.88
