Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.535,14.279,14.242
10752,8192,2,0.002,11.424,11.308,11.269
10752,8192,3,0.002,11.244,11.112,11.108
10752,8192,5,0.002,11.237,11.126,11.127
10752,8192,10,0.002,11.346,11.182,11.214
10752,8192,12,0.002,11.325,11.252,11.272
10752,8192,20,0.002,11.586,11.456,11.398
10752,8192,30,0.002,11.794,11.725,11.531
10752,8192,50,0.002,12.244,12.163,11.81
10752,8192,80,0.003,13.007,12.98,12.207
10752,8192,100,0.004,13.539,13.441,12.477
10752,8192,200,0.006,16.776,17.256,13.777
