Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.149,1.071,1.083
768,8192,2,0.002,0.923,0.913,0.919
768,8192,3,0.002,0.93,0.929,0.931
768,8192,5,0.002,0.94,0.932,0.94
768,8192,10,0.002,1.022,1.012,1.029
768,8192,12,0.002,1.098,1.079,1.082
768,8192,20,0.002,1.261,1.249,1.202
768,8192,30,0.002,1.544,1.526,1.35
768,8192,50,0.002,1.907,1.858,1.63
768,8192,80,0.003,2.558,2.554,2.19
768,8192,100,0.003,3.18,3.231,2.658
768,8192,200,0.005,6.288,6.178,4.556
