Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.079,4.025,4.02
3072,8192,2,0.001,3.404,3.314,3.251
3072,8192,3,0.002,3.284,3.277,3.259
3072,8192,5,0.002,3.293,3.267,3.266
3072,8192,10,0.002,3.358,3.298,3.304
3072,8192,12,0.002,3.424,3.373,3.433
3072,8192,20,0.002,3.606,3.565,3.521
3072,8192,30,0.002,3.854,3.917,3.625
3072,8192,50,0.002,4.275,4.195,3.893
3072,8192,80,0.003,4.976,4.852,4.256
3072,8192,100,0.003,5.591,5.572,4.582
3072,8192,200,0.005,8.737,8.54,6.582
