Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.237,10.172,10.074
7680,8192,2,0.002,8.134,8.071,8.054
7680,8192,3,0.002,8.098,8.082,8.016
7680,8192,5,0.002,8.146,8.103,7.964
7680,8192,10,0.002,8.107,7.936,7.99
7680,8192,12,0.002,8.158,8.029,8.061
7680,8192,20,0.002,8.343,8.182,8.193
7680,8192,30,0.002,8.608,8.527,8.341
7680,8192,50,0.002,9.049,9.081,8.603
7680,8192,80,0.003,9.611,9.743,9.045
7680,8192,100,0.003,10.347,10.233,9.125
7680,8192,200,0.006,13.401,13.943,10.613
