Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.27,1334.9,1334.12,14.666,8.19507,8.18512
10752,8192,2,1333.89,1333.78,1332.41,15.9383,9.58202,9.53979
10752,8192,3,1348.42,1344.61,1346.46,15.8618,9.64725,9.64641
10752,8192,5,1354.67,1353.98,1359.32,16.405,9.97763,9.86553
10752,8192,10,1363.13,1368.73,1364.08,16.6744,10.8412,10.6404
10752,8192,12,1362.5,1368.12,1373.69,17.3131,11.1116,11.1028
10752,8192,20,1377.55,1374.17,1371.94,18.2801,12.2251,11.6984
10752,8192,30,1415.18,1419.91,1373.04,19.4022,13.3451,12.7759
10752,8192,50,1588.7,1581.5,1389.05,21.7793,16.0905,14.595
10752,8192,80,1847.16,1839.46,1398.9,24.9331,19.0422,17.3116
10752,8192,100,2028.95,2021.37,1379.8,27.0644,21.3073,18.1398
10752,8192,200,2827.08,2786.76,1412.03,35.2151,30.926,25.7636
