Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3675.03,3675.74,3677.62,14.8807,8.26948,8.27269
30720,8192,2,3693.07,3689.35,3691.75,15.9585,9.62802,9.62463
30720,8192,3,3702.81,3702.12,3707.12,15.9274,9.64118,9.60576
30720,8192,5,3691.25,3685.87,3695.31,16.067,9.67762,9.73135
30720,8192,10,3710.51,3705.26,3712.06,16.3192,9.98498,10.0978
30720,8192,12,3729.57,3743.76,3730.4,16.4343,10.0389,10.0951
30720,8192,20,3727.81,3728.36,3716.53,16.7807,10.516,10.416
30720,8192,30,3729.18,3730.63,3734.78,17.2033,10.9324,10.7484
30720,8192,50,3773.37,3772.12,3751.09,18.0511,11.8945,11.4669
30720,8192,80,3858.48,3855.53,3735.99,19.2779,13.2132,12.4163
30720,8192,100,3907.38,3896.25,3737.41,20.1399,13.9096,12.7735
30720,8192,200,4794.76,4793.94,3752.41,23.7699,18.1078,15.4285
