Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,975.18,974.961,975.992,14.5761,8.14291,8.15276
7680,8192,2,975.562,975.191,978.195,15.7786,9.61251,9.52917
7680,8192,3,975.008,976.242,976.238,15.8895,9.73878,9.65716
7680,8192,5,989.395,984.668,991.902,15.9387,9.89459,10.0776
7680,8192,10,998.398,1006.11,996.105,17.5017,11.1864,10.974
7680,8192,12,1009.32,1014.72,1003.93,17.7522,11.6411,11.3759
7680,8192,20,1020.36,1028.66,1005.61,18.895,13.0563,12.4752
7680,8192,30,1120.14,1126.72,1009.66,20.4614,15.3918,14.0376
7680,8192,50,1283.85,1280.41,1024.98,25.389,17.9919,16.7019
7680,8192,80,1534.3,1553.23,1034.85,28.2325,22.9081,19.8416
7680,8192,100,1728.43,1720.01,1021.3,30.2282,25.4228,22.1603
7680,8192,200,2502.74,2402.55,1040.12,40.3177,36.8103,30.9292
