Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.139,1.068,1.086
768,8192,2,0.002,0.937,0.917,0.915
768,8192,3,0.002,0.93,0.931,0.921
768,8192,5,0.002,0.949,0.953,0.941
768,8192,10,0.002,1.039,1.031,1.033
768,8192,12,0.002,1.104,1.081,1.095
768,8192,20,0.002,1.328,1.187,1.213
768,8192,30,0.002,1.466,1.46,1.339
768,8192,50,0.002,1.896,1.886,1.626
768,8192,80,0.003,2.629,2.6,2.179
768,8192,100,0.003,3.308,3.148,2.591
768,8192,200,0.005,6.582,6.003,4.601
