Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.231,10.127,10.101
7680,8192,2,0.002,8.088,8.011,8.025
7680,8192,3,0.002,8.067,8.02,8.013
7680,8192,5,0.002,8.1,8.163,7.955
7680,8192,10,0.002,8.122,7.991,7.978
7680,8192,12,0.002,8.134,8.027,8.04
7680,8192,20,0.002,8.383,8.174,8.201
7680,8192,30,0.002,8.563,8.476,8.336
7680,8192,50,0.002,9.027,8.893,8.615
7680,8192,80,0.003,9.652,9.751,9.024
7680,8192,100,0.003,10.165,10.101,9.236
7680,8192,200,0.005,13.761,14.029,10.559
