Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.555,72.459,72.722
50688,8192,2,0.002,59.165,58.702,58.582
50688,8192,3,0.002,58.987,58.621,58.455
50688,8192,5,0.002,58.904,58.576,58.524
50688,8192,10,0.002,59.125,58.581,58.458
50688,8192,12,0.002,59.024,58.545,58.511
50688,8192,20,0.002,59.39,59.027,58.895
50688,8192,30,0.003,59.566,59.114,58.915
50688,8192,50,0.003,59.917,59.447,59.26
50688,8192,80,0.004,61.247,60.746,59.771
50688,8192,100,0.003,61.393,61.052,59.975
50688,8192,200,0.007,64.964,64.802,61.866
