Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.47,14.324,14.551
10752,8192,2,0.002,11.756,11.291,11.327
10752,8192,3,0.002,11.272,11.176,11.184
10752,8192,5,0.002,11.254,11.135,11.117
10752,8192,10,0.002,11.317,11.276,11.193
10752,8192,12,0.002,11.351,11.284,11.239
10752,8192,20,0.002,11.625,11.517,11.402
10752,8192,30,0.002,11.788,11.71,11.586
10752,8192,50,0.003,12.252,12.084,11.797
10752,8192,80,0.003,12.954,12.828,12.171
10752,8192,100,0.003,13.565,13.492,12.392
10752,8192,200,0.005,16.767,16.682,13.703
