Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.077,4.005,4.035
3072,8192,2,0.002,3.27,3.233,3.263
3072,8192,3,0.002,3.264,3.248,3.29
3072,8192,5,0.002,3.273,3.254,3.258
3072,8192,10,0.002,3.381,3.307,3.313
3072,8192,12,0.002,3.417,3.372,3.425
3072,8192,20,0.002,3.563,3.499,3.488
3072,8192,30,0.002,3.851,3.689,3.624
3072,8192,50,0.002,4.281,4.155,3.857
3072,8192,80,0.003,4.989,4.698,4.26
3072,8192,100,0.003,5.393,5.503,4.594
3072,8192,200,0.005,8.659,8.685,6.485
