Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.169,42.512,41.561
30720,8192,2,0.002,33.995,33.456,33.618
30720,8192,3,0.002,33.779,33.533,33.407
30720,8192,5,0.002,33.734,33.753,33.472
30720,8192,10,0.002,33.696,33.601,33.772
30720,8192,12,0.002,33.963,33.569,33.491
30720,8192,20,0.002,34.155,33.902,33.889
30720,8192,30,0.003,34.383,34.139,34.159
30720,8192,50,0.003,34.783,34.612,34.198
30720,8192,80,0.004,35.584,35.279,34.659
30720,8192,100,0.004,35.947,35.864,34.966
30720,8192,200,0.006,39.507,39.312,36.388
