Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.52,1335.98,1336.45,14.6327,8.17186,8.19142
10752,8192,2,1334.23,1333.61,1332.64,15.7827,9.58253,9.61748
10752,8192,3,1345.11,1345.09,1349.48,15.8843,9.72383,9.62027
10752,8192,5,1342.07,1344.35,1350.39,15.9862,9.92862,9.82843
10752,8192,10,1367.75,1356.82,1358.66,16.7666,10.7542,10.8247
10752,8192,12,1367.03,1370.75,1369.49,17.4335,11.0239,11.1006
10752,8192,20,1376.16,1376.9,1383.42,18.1666,12.1931,11.8527
10752,8192,30,1415.95,1388.65,1376.34,19.5362,13.6094,12.9047
10752,8192,50,1571.73,1565.66,1392.07,21.8794,15.673,14.3643
10752,8192,80,1849.09,1836.61,1380.33,25.1528,19.3492,16.6438
10752,8192,100,2005.43,2017.83,1378.05,26.9467,21.4678,18.1114
10752,8192,200,2849.27,2803.48,1408.02,35.0377,30.3225,25.4016
