Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,145.203,145.098,146.051,12.3328,6.92649,6.7841
768,8192,2,151.953,152.922,153.469,14.2601,9.59173,8.09528
768,8192,3,165.367,170.457,166.883,15.2711,9.52006,9.93176
768,8192,5,196.898,190.758,188.355,17.1809,11.6725,12.1603
768,8192,10,248.43,253.086,259.125,26.2794,19.2533,19.9299
768,8192,12,276.035,278.973,278.98,27.5859,23.3392,22.2993
768,8192,20,368.977,369.246,282.867,33.6267,30.3821,29.4112
768,8192,30,443.793,464.25,301.996,43.5693,37.0522,36.0703
768,8192,50,523.766,571.383,297.043,49.8319,47.0703,41.1175
768,8192,80,672.688,737.879,286.809,58.5401,56.5451,48.0933
768,8192,100,722.762,775.211,303.066,61.0432,60.455,54.6259
768,8192,200,1130.15,1222.96,299.414,63.5808,67.2044,64.6558
