Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,975.445,974.629,974.742,14.576,8.12197,8.50393
7680,8192,2,976.57,977.047,974.992,15.8217,9.52058,9.50277
7680,8192,3,975.973,977.793,975.379,15.9624,9.7251,9.67917
7680,8192,5,983.688,988.504,988.488,16.0395,9.97816,9.9618
7680,8192,10,1002.26,1004.07,990.875,17.1801,11.2827,11.2768
7680,8192,12,1012.41,1012.57,1015.85,17.8369,11.6415,11.5955
7680,8192,20,1025.85,1023.69,1018.76,19.0843,13.3489,12.5866
7680,8192,30,1122.64,1129.01,1012.25,20.8725,14.7678,13.9905
7680,8192,50,1281.71,1286.04,1029.38,24.245,17.8584,16.7717
7680,8192,80,1543.02,1550.84,1031.57,27.8519,22.2839,19.7094
7680,8192,100,1684.85,1693.5,1035.43,30.4314,25.3553,21.5715
7680,8192,200,2426.82,2451.61,1049.5,40.1622,37.1907,30.9133
