Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,142.965,145.355,143.363,17.2463,6.98401,7.05758
768,8192,2,153.164,151.973,154.59,14.2975,8.1762,8.74159
768,8192,3,166.051,165.07,168.77,15.3661,9.76933,9.52376
768,8192,5,189.48,192.988,191.781,17.6383,12.7346,10.9547
768,8192,10,254.637,257.305,250.609,23.5416,17.9499,18.9642
768,8192,12,279.191,268.586,287.777,43.3006,20.2216,21.943
768,8192,20,348.816,350.184,289.426,34.1658,31.4122,27.8822
768,8192,30,456.672,467.387,292.598,39.8045,37.8987,36.0447
768,8192,50,506.961,501.836,284.711,47.3897,46.1216,37.607
768,8192,80,662.785,638.582,286.832,45.552,55.8557,46.732
768,8192,100,739.898,753.25,284.203,59.2181,54.4113,51.5144
768,8192,200,1204.61,1078.25,285.199,51.4162,55.8405,56.7066
