Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3676.78,3676.02,3677.48,14.8733,8.40028,8.28057
30720,8192,2,3689.78,3691.88,3692.14,15.9574,9.63469,9.5479
30720,8192,3,3703.52,3706.99,3706,15.9824,9.65583,9.64265
30720,8192,5,3696.48,3686.41,3688.81,15.9773,9.63606,9.70305
30720,8192,10,3718.16,3710.77,3710.67,16.2974,9.99623,9.94012
30720,8192,12,3737.7,3740.12,3730.44,16.4621,10.1314,10.0982
30720,8192,20,3733.2,3729.51,3712.11,16.8214,10.5404,10.4216
30720,8192,30,3733.75,3733.53,3736.63,17.1922,10.9996,10.715
30720,8192,50,3776.61,3775.1,3751.79,18.063,11.9372,11.2955
30720,8192,80,3851.82,3849.25,3733.97,19.2441,12.964,12.1956
30720,8192,100,3890.5,3897.11,3750.02,20.0633,13.9356,12.7328
30720,8192,200,4806.8,4811.31,3750.93,23.9151,17.8992,15.3591
