Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.215,42.411,41.621
30720,8192,2,0.002,33.882,33.449,33.576
30720,8192,3,0.002,33.827,33.486,33.365
30720,8192,5,0.002,33.735,33.435,33.408
30720,8192,10,0.002,33.857,33.575,33.611
30720,8192,12,0.002,33.948,33.617,33.49
30720,8192,20,0.002,34.251,33.832,33.773
30720,8192,30,0.003,34.325,34.148,33.882
30720,8192,50,0.003,34.64,34.531,34.208
30720,8192,80,0.003,35.503,35.34,34.769
30720,8192,100,0.004,36.204,35.702,35.022
30720,8192,200,0.007,39.449,39.053,36.393
