Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.354,72.108,72.11
50688,8192,2,0.002,59.187,58.52,58.482
50688,8192,3,0.002,58.848,58.386,58.363
50688,8192,5,0.002,58.9,59.196,58.465
50688,8192,10,0.002,58.932,58.541,58.409
50688,8192,12,0.002,58.908,58.377,58.408
50688,8192,20,0.002,59.298,58.807,58.814
50688,8192,30,0.003,59.403,58.784,58.833
50688,8192,50,0.003,60.052,59.602,59.484
50688,8192,80,0.004,61.032,60.654,59.673
50688,8192,100,0.004,61.525,61.289,59.921
50688,8192,200,0.007,65.142,65.008,61.804
