Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.136,1.085,1.086
768,8192,2,0.002,0.925,0.91,0.923
768,8192,3,0.001,0.929,0.917,0.919
768,8192,5,0.002,0.945,0.953,0.939
768,8192,10,0.002,1.067,1.025,0.995
768,8192,12,0.002,1.092,1.07,1.071
768,8192,20,0.002,1.271,1.272,1.202
768,8192,30,0.002,1.573,1.501,1.339
768,8192,50,0.002,1.946,1.874,1.63
768,8192,80,0.003,2.566,2.656,2.169
768,8192,100,0.003,3.274,3.19,2.61
768,8192,200,0.005,6.393,5.783,4.697
