Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.668,14.234,14.325
10752,8192,2,0.002,11.333,11.405,11.285
10752,8192,3,0.002,11.267,11.097,11.109
10752,8192,5,0.002,11.175,11.138,11.11
10752,8192,10,0.002,11.331,11.171,11.294
10752,8192,12,0.002,11.334,11.254,11.212
10752,8192,20,0.002,11.566,11.476,11.368
10752,8192,30,0.002,11.816,11.643,11.55
10752,8192,50,0.002,12.278,12.279,11.815
10752,8192,80,0.003,13.034,12.861,12.278
10752,8192,100,0.003,13.556,13.325,12.42
10752,8192,200,0.006,16.847,17.052,13.692
