Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.184,10.06,10.007
7680,8192,2,0.002,8.111,7.996,8.066
7680,8192,3,0.002,8.091,8.021,8.001
7680,8192,5,0.002,8.124,8.036,7.963
7680,8192,10,0.002,8.117,7.98,8.028
7680,8192,12,0.002,8.083,8.028,8.035
7680,8192,20,0.002,8.356,8.235,8.365
7680,8192,30,0.002,8.602,8.437,8.311
7680,8192,50,0.002,9.05,8.984,8.591
7680,8192,80,0.003,9.638,9.524,9.027
7680,8192,100,0.003,10.179,10.166,9.161
7680,8192,200,0.006,13.588,14.104,10.491
