Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.055,4.008,4.018
3072,8192,2,0.002,3.273,3.241,3.253
3072,8192,3,0.002,3.267,3.234,3.243
3072,8192,5,0.002,3.279,3.285,3.25
3072,8192,10,0.002,3.392,3.307,3.371
3072,8192,12,0.002,3.398,3.368,3.413
3072,8192,20,0.002,3.626,3.491,3.511
3072,8192,30,0.002,3.865,3.747,3.648
3072,8192,50,0.002,4.329,4.187,3.87
3072,8192,80,0.003,5.032,4.83,4.263
3072,8192,100,0.003,5.522,5.679,4.622
3072,8192,200,0.006,8.515,8.6,6.617
