Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.232,10.04,10.098
7680,8192,2,0.002,8.075,8.01,8.01
7680,8192,3,0.002,8.061,7.995,8.088
7680,8192,5,0.002,8.07,8.132,7.958
7680,8192,10,0.002,8.075,7.993,7.946
7680,8192,12,0.002,8.118,8.253,8.453
7680,8192,20,0.002,8.338,8.333,8.214
7680,8192,30,0.002,8.576,8.449,8.343
7680,8192,50,0.002,9.024,8.864,8.588
7680,8192,80,0.003,9.77,9.633,9.042
7680,8192,100,0.003,10.163,10.093,9.178
7680,8192,200,0.006,13.646,14.014,10.495
