Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.346,72.354,72.187
50688,8192,2,0.002,59.296,58.637,58.532
50688,8192,3,0.002,59.165,58.418,58.512
50688,8192,5,0.002,58.917,58.637,58.408
50688,8192,10,0.002,59.067,58.542,58.545
50688,8192,12,0.002,58.949,58.482,58.555
50688,8192,20,0.002,59.364,58.907,58.803
50688,8192,30,0.003,59.364,58.978,59.679
50688,8192,50,0.003,59.851,59.577,59.358
50688,8192,80,0.004,60.914,60.595,59.757
50688,8192,100,0.004,61.402,60.974,60.003
50688,8192,200,0.007,65.096,64.879,61.566
