Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.14,1.067,1.084
768,8192,2,0.002,0.929,0.924,0.933
768,8192,3,0.001,0.932,0.919,0.922
768,8192,5,0.002,0.949,0.94,0.95
768,8192,10,0.002,1.045,0.992,1.011
768,8192,12,0.002,1.101,1.07,1.076
768,8192,20,0.002,1.335,1.288,1.184
768,8192,30,0.002,1.519,1.452,1.353
768,8192,50,0.002,1.926,1.909,1.657
768,8192,80,0.003,2.67,2.549,2.177
768,8192,100,0.003,3.376,3.146,2.618
768,8192,200,0.005,6.433,6.268,4.604
