Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.082,4.022,4.034
3072,8192,2,0.002,3.27,3.233,3.245
3072,8192,3,0.002,3.279,3.262,3.258
3072,8192,5,0.002,3.294,3.261,3.263
3072,8192,10,0.002,3.366,3.328,3.326
3072,8192,12,0.002,3.414,3.395,3.457
3072,8192,20,0.002,3.567,3.531,3.484
3072,8192,30,0.002,3.841,3.792,3.627
3072,8192,50,0.002,4.229,4.275,3.828
3072,8192,80,0.003,4.899,4.897,4.253
3072,8192,100,0.003,5.548,5.565,4.572
3072,8192,200,0.005,8.641,8.052,6.537
