Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.077,42.45,41.525
30720,8192,2,0.002,34.032,33.84,33.499
30720,8192,3,0.002,33.774,33.484,33.465
30720,8192,5,0.002,34.008,33.384,33.647
30720,8192,10,0.002,33.78,33.54,35.978
30720,8192,12,0.002,34.606,33.774,33.832
30720,8192,20,0.002,34.246,33.966,33.679
30720,8192,30,0.003,34.317,34.146,34.007
30720,8192,50,0.003,34.839,34.506,34.203
30720,8192,80,0.004,35.476,35.356,34.655
30720,8192,100,0.003,36.216,35.841,34.906
30720,8192,200,0.007,39.557,39.147,36.466
