Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.001,10.18,10.05,10.099
7680,8192,2,0.002,8.128,8.027,8.118
7680,8192,3,0.002,8.1,8.038,8.095
7680,8192,5,0.002,8.079,8.1,7.962
7680,8192,10,0.002,8.073,7.97,7.975
7680,8192,12,0.002,8.127,8.02,8.057
7680,8192,20,0.002,8.305,8.162,8.186
7680,8192,30,0.002,8.641,8.666,8.416
7680,8192,50,0.003,8.985,8.851,8.623
7680,8192,80,0.003,9.685,9.698,8.996
7680,8192,100,0.003,10.227,10.292,9.173
7680,8192,200,0.006,13.594,14.238,10.458
