Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.148,1.091,1.09
768,8192,2,0.002,0.926,0.918,0.921
768,8192,3,0.002,0.945,0.918,0.936
768,8192,5,0.002,0.95,0.936,0.939
768,8192,10,0.002,1.051,1.001,0.991
768,8192,12,0.002,1.1,1.07,1.078
768,8192,20,0.002,1.309,1.201,1.2
768,8192,30,0.002,1.577,1.479,1.33
768,8192,50,0.002,1.919,1.917,1.63
768,8192,80,0.003,2.578,2.509,2.186
768,8192,100,0.003,3.342,3.285,2.566
768,8192,200,0.005,6.763,6.445,4.521
