Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.082,4.045,4.024
3072,8192,2,0.002,3.292,3.246,3.272
3072,8192,3,0.002,3.285,3.274,3.258
3072,8192,5,0.002,3.303,3.266,3.372
3072,8192,10,0.002,3.373,3.33,3.318
3072,8192,12,0.002,3.433,3.421,3.405
3072,8192,20,0.002,3.558,3.525,3.481
3072,8192,30,0.002,3.836,3.774,3.637
3072,8192,50,0.002,4.307,4.153,3.88
3072,8192,80,0.003,4.911,4.822,4.28
3072,8192,100,0.003,5.646,5.459,4.582
3072,8192,200,0.006,8.757,8.415,6.427
