Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.319,42.538,41.592
30720,8192,2,0.002,33.96,33.514,33.512
30720,8192,3,0.002,34.04,33.505,33.362
30720,8192,5,0.002,33.946,33.539,33.502
30720,8192,10,0.002,33.757,33.555,33.594
30720,8192,12,0.002,33.995,33.579,33.509
30720,8192,20,0.002,34.131,33.966,33.779
30720,8192,30,0.003,34.307,34.252,33.92
30720,8192,50,0.002,34.784,34.439,34.223
30720,8192,80,0.004,35.541,35.36,34.601
30720,8192,100,0.004,36.261,35.76,34.921
30720,8192,200,0.006,39.467,39.019,36.422
