Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1334.67,1334.83,1335.77,14.6462,8.1953,8.22387
10752,8192,2,1333.04,1332.23,1333.39,15.7753,9.6263,9.65515
10752,8192,3,1348.66,1342.81,1349.95,15.6944,9.65663,9.63345
10752,8192,5,1359.41,1355.14,1358.3,15.9426,9.96375,9.92674
10752,8192,10,1365.3,1368.14,1354.53,16.913,10.6809,10.5972
10752,8192,12,1364.46,1372.66,1371.93,17.2791,11.2914,11.153
10752,8192,20,1376.84,1375.79,1379.87,18.0643,12.2224,12.0517
10752,8192,30,1430.96,1418.65,1384.46,19.3527,13.5141,12.7419
10752,8192,50,1578.32,1571.26,1379.38,21.6405,15.9241,14.6449
10752,8192,80,1833.92,1841.26,1379.35,24.6365,19.1585,16.9307
10752,8192,100,2019.14,2012.46,1395.29,26.3445,21.4318,18.0476
10752,8192,200,2805.65,2852.65,1413.44,36.3091,30.7105,25.3801
