Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6015.92,6019,6018.84,14.9725,8.2752,8.29733
50688,8192,2,6031.56,6032.73,6033.07,15.9909,9.54847,9.55072
50688,8192,3,6046.05,6048.22,6046.15,15.9956,9.59937,9.57466
50688,8192,5,6074.62,6067.82,6072.95,16.0774,9.65159,9.6027
50688,8192,10,6077.58,6070.38,6074.79,16.2751,9.77422,9.83736
50688,8192,12,6087.44,6102.88,6099.74,16.2057,9.89946,9.84308
50688,8192,20,6060.09,6060.65,6068.7,16.4251,10.0084,10.0283
50688,8192,30,6072.5,6082.54,6049.68,16.692,10.3137,10.1991
50688,8192,50,6158.07,6154.53,6102.21,17.1833,10.8617,10.5697
50688,8192,80,6177.63,6164.76,6082.74,17.9035,11.6684,11.1103
50688,8192,100,6255.81,6205.41,6120.8,18.419,12.2001,11.4799
50688,8192,200,6672.13,6669.46,6106.73,20.8367,14.5685,12.9811
