Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.185,10.048,10.051
7680,8192,2,0.001,8.092,8.148,8.009
7680,8192,3,0.002,8.096,8.054,8.04
7680,8192,5,0.002,8.084,8.097,7.959
7680,8192,10,0.002,8.084,7.992,8.013
7680,8192,12,0.002,8.132,8.03,8.094
7680,8192,20,0.002,8.392,8.25,8.383
7680,8192,30,0.002,8.619,8.589,8.33
7680,8192,50,0.002,9.088,8.93,8.62
7680,8192,80,0.003,9.749,9.537,9.096
7680,8192,100,0.003,10.258,10.036,9.174
7680,8192,200,0.005,13.562,13.538,10.566
