Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.142,1.087,1.07
768,8192,2,0.002,0.926,0.912,0.923
768,8192,3,0.002,0.935,0.953,0.933
768,8192,5,0.002,0.946,0.936,0.947
768,8192,10,0.002,1.049,1.03,0.999
768,8192,12,0.002,1.105,1.079,1.078
768,8192,20,0.002,1.317,1.285,1.206
768,8192,30,0.002,1.59,1.531,1.355
768,8192,50,0.003,2.001,1.85,1.639
768,8192,80,0.003,2.597,2.7,2.163
768,8192,100,0.003,3.271,3.185,2.559
768,8192,200,0.005,6.458,5.865,4.644
