Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.394,14.226,14.18
10752,8192,2,0.002,11.431,11.312,11.287
10752,8192,3,0.002,11.264,11.118,11.096
10752,8192,5,0.001,11.258,11.138,11.166
10752,8192,10,0.002,11.324,11.175,11.245
10752,8192,12,0.002,11.338,11.279,11.271
10752,8192,20,0.002,11.657,11.508,11.413
10752,8192,30,0.002,11.814,11.747,11.579
10752,8192,50,0.003,12.321,12.102,11.843
10752,8192,80,0.003,12.813,12.992,12.17
10752,8192,100,0.003,13.453,13.3,12.419
10752,8192,200,0.006,16.618,16.934,13.713
