Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.216,42.389,41.464
30720,8192,2,0.002,33.959,33.716,33.425
30720,8192,3,0.002,33.836,33.627,33.6
30720,8192,5,0.002,33.726,33.488,33.585
30720,8192,10,0.002,33.816,33.496,33.545
30720,8192,12,0.002,33.862,33.654,33.69
30720,8192,20,0.002,34.124,33.943,33.843
30720,8192,30,0.002,34.289,34.251,34.118
30720,8192,50,0.002,34.716,34.425,34.644
30720,8192,80,0.003,35.452,35.291,34.892
30720,8192,100,0.004,36.204,35.997,35.048
30720,8192,200,0.007,39.719,39.23,36.509
