Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.057,4.027,4.015
3072,8192,2,0.002,3.27,3.235,3.239
3072,8192,3,0.002,3.266,3.25,3.292
3072,8192,5,0.002,3.304,3.258,3.273
3072,8192,10,0.002,3.37,3.3,3.324
3072,8192,12,0.002,3.432,3.352,3.443
3072,8192,20,0.002,3.563,3.529,3.504
3072,8192,30,0.002,3.808,3.721,3.656
3072,8192,50,0.002,4.358,4.102,3.934
3072,8192,80,0.003,4.951,5.052,4.291
3072,8192,100,0.003,5.464,5.576,4.611
3072,8192,200,0.006,8.887,8.769,6.471
