Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6016.88,6017.97,6018.86,14.9806,8.29963,8.29506
50688,8192,2,6034.59,6032.84,6033.8,15.9698,9.55173,9.68347
50688,8192,3,6043.97,6045.91,6046.92,16.0297,9.63806,9.61635
50688,8192,5,6062.75,6065.85,6067.34,16.031,9.61251,9.60864
50688,8192,10,6068.34,6078.92,6069.28,16.209,9.75892,9.80563
50688,8192,12,6096.95,6100.65,6098.03,16.2739,10.0107,9.85002
50688,8192,20,6103.45,6058.91,6067.41,16.4847,10.0269,10.0084
50688,8192,30,6074.39,6081.43,6061.63,16.6926,10.3713,10.2302
50688,8192,50,6154.36,6149.29,6107.21,17.1317,10.8975,10.6033
50688,8192,80,6162.41,6173.55,6082.05,17.8953,11.6638,11.059
50688,8192,100,6208.93,6255.7,6093.94,18.4995,12.1707,11.3769
50688,8192,200,6689.17,6690.56,6112.4,20.7442,14.5706,13.0019
