Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,973.645,973.773,975.789,14.491,8.13116,9.61344
7680,8192,2,975.586,975.5,976.016,15.5661,9.43929,9.5086
7680,8192,3,981.113,977.785,979.457,15.7717,9.67764,9.7243
7680,8192,5,991.559,989.027,988.762,16.0052,10.0507,9.99595
7680,8192,10,1009.74,992.023,1009.42,17.4137,11.0698,11.0718
7680,8192,12,1009.71,1009.27,1006.53,17.7429,11.7823,11.62
7680,8192,20,1022.93,1025.56,1007.16,19.1066,13.069,12.658
7680,8192,30,1126.24,1124.79,1013.73,20.4452,15.083,13.5536
7680,8192,50,1280.69,1288.58,1019.32,23.5565,17.6972,16.1197
7680,8192,80,1539.39,1543.59,1033.17,28.269,22.4764,19.6296
7680,8192,100,1718.1,1719.25,1033.98,30.3922,25.6668,21.3672
7680,8192,200,2439.88,2459.93,1038.12,40.5784,37.5514,30.9958
