Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,76.22,72.767,72.439
50688,8192,2,0.002,59.882,58.705,59.132
50688,8192,3,0.002,59.262,58.625,58.752
50688,8192,5,0.002,59.097,58.462,59.307
50688,8192,10,0.002,59.196,58.704,58.624
50688,8192,12,0.002,59.238,58.833,58.736
50688,8192,20,0.002,59.468,58.989,58.923
50688,8192,30,0.003,59.721,59.119,59.214
50688,8192,50,0.003,60.228,59.898,59.385
50688,8192,80,0.003,61.424,60.515,60.137
50688,8192,100,0.004,61.668,61.232,60.189
50688,8192,200,0.007,65.559,65.043,62.118
